course_code,section_no,room
IE401,B,EF_AB1.231
MATH202,B,EF_AB1.245
MATH212,B,EF_AB1.241
MATH215R,A,EF_AB1.238
ME212,A,EF_AB1.233;EF_AB1.246
ME301L,A,EF_AB1.B07
SEC101,A,
SEC101,B,
SEC101,C,
SEC150,A,FEAS_AB2.102
SEC201,A,
SEC201L,A,
SEC201L,D,
SEC201L,C,
SEC203,A,
SEC203L,A,
SEC203L,B,
SEC203L,C,
SEC203L,D,
SEC280,A,
SEC302,A,LF_AB3.135
SEC303,A,FEAS_AB2.115
SEC304,A,FEAS_AB2.102
SEC385,A,FEAS_AB2.101
SEC401,A,FEAS_AB2.G10
SEC401,B,SCOLA.129
SEC401,C,SCOLA.128
SEC401,D,SCOLA.231
SEC401,E,FEAS_AB2.112
SEC401,F,FEAS_AB2.113
SEC401,G,FEAS_AB2.115
SEC401,H,SCOLA.231
SEC401,I,FEAS_AB2.B43A
SEC401,J,FEAS_AB2.113
SEC401,K,SCOLA.230
SEC401,L,FEAS_AB2.115
SEC401,M,FEAS_AB2.B45
SEC402,A,FEAS_AB2.114
TRL100,A,SCOLA.231
TRL100,C,SCOLA.322
TRL100,D,SCOLA.229
TRL100,E,SCOLA.126
TRL100,F,SCOLA.126
TRL100,G,SCOLA.323
TRL100,H,EF_AB1.238
TRL100,I,SCOLA.126
TRL100,K,SCOLA.229
TRL100,L,SCOLA.126
TRL100,M,SCOLA.126
TRL100,N,SCOLA.323
TRL100,O,EF_AB1.238
TRL100,P,SCOLA.126
TRL100,PA,
TRL100,PB,
TRL100,PC,
TRL100,PD,
TRL100,PE,
TRL100,PF,
TRL100,PG,
TRL100,PH,
TRL100,PI,
TRL100,PJ,
TRL100,Q,EF_AB1.408
TRL100,R,SCOLA.127
TRL109,A,FEAS_AB2.G10
TRL109,C,FEAS_AB2.B45
TRL109,PA,
TRL120,A,
TRL121,A,
TRL122,A,
TRL190,A,
TRL191,A,
TRL192,A,
SEC150,B,FEAS_AB2.112
SEC201L,B,
SEC302,B,EF_AB1.408
SEC404,A,FEAS_AB2.B46
TRL100,B,SCOLA.323
TRL100,J,SCOLA.322
TRL109,B,SCOLA.229
ANTH201,A,FEAS_AB2.116
ANTH203,A,FEAS_AB2.110
ANTH205,A,FEAS_AB2.101
ANTH301,A,
ANTH314,A,LF_AB3.240
ANTH319,A,SCOLA.129
ANTH320,A,
ART100,A,LF_AB3.141
ART101,A,LF_AB3.141
ART101,B,LF_AB3.141
ART102,A,LF_AB3.141
ART111,A,LF_AB3.141
BE101,A,
BE107,A,
HIST103,A,LF_AB3.332
HIST104,A,FEAS_AB2.116
HIST200,A,LF_AB3.237
HIST200,B,LF_AB3.235
HIST200,C,LF_AB3.133
HIST200,D,LF_AB3.133
HIST200,E,LF_AB3.236
HIST200,F,LF_AB3.136
HIST200,G,SCOLA.326
HIST200,H,SCOLA.229
HIST201,A,LF_AB3.136
HIST202,A,SCOLA.326
HIST202,B,LF_AB3.338
HIST202,C,SCOLA.326
HIST202,D,LF_AB3.134
HIST209,A,SCOLA.326
HIST303,A,EF_AB1.408
HIST304,A,EF_AB1.407
HUM201,A,
HUM309,A,FEAS_AB2.116
HUM319,A,SCOLA.128
HUM353,A,SCOLA.231
IR101,A,LF_AB3.136
IR201,A,LF_AB3.348
IR201R,A,FEAS_AB2.B42
IR201R,B,FEAS_AB2.B42
IR203,A,LF_AB3.238
IR301,A,EF_AB1.245
IR305,A,LF_AB3.235
IR315,A,LF_AB3.241
IR318,A,FEAS_AB2.G02
IR322,A,LF_AB3.331
IR390,A,
IR400,A,
IR401,A,FEAS_AB2.G03
IR411,A,FEAS_AB2.112
IR421,A,LF_AB3.338
IR423,A,FEAS_AB2.G14
IR424,A,FEAS_AB2.B43A
IR429,A,FEAS_AB2.B46
MUSIC103,A,LF_AB3.333
PE101,A,
PE101,B,
PE101,C,
PE101,D,
PE101,E,
PE102,A,
PE102,B,
PE102,C,
PE102,D,
PE104,A,
